lower_threshold_percentile,IMG_ID,normal_dice,normal_ostia_status,normal_left_dist_mm,normal_right_dist_mm,normal_artery_voxels,fuzzy_dice,fuzzy_ostia_status,fuzzy_left_dist_mm,fuzzy_right_dist_mm,fuzzy_artery_voxels,fuzzy_minus_normal_dice,fuzzy_minus_normal_voxels
11.5,447,0.4646106870229007,found but incorrect,0.6953125,7.205497169045659,11843,0.4663616544354715,found but incorrect,0.6953125,7.205497169045659,11660,0.001750967412570803,-183
11.5,836,0.7473776714096068,both tolerable,0.9004562916672442,0.5,26295,0.7475568203092822,both tolerable,0.9004562916672442,0.5,26226,0.0001791488996754076,-69
11.5,603,0.4341670398089511,found but incorrect,0.0,27.84537235076125,15938,0.443586539319825,found but incorrect,0.0,7.171684578422479,13851,0.009419499510873897,-2087
11.5,676,0.4984565519370273,both tolerable,1.1576348337032387,0.8916609243998318,8637,0.4981910134215133,both tolerable,1.1576348337032387,0.8916609243998318,8426,-0.00026553851551402996,-211
11.5,44,0.3954617801901808,both tolerable,0.58984375,0.0,102987,0.6305750596058359,both tolerable,0.58984375,0.0,47403,0.23511327941565513,-55584
11.5,129,0.7210997976423731,both tolerable,2.23828125,0.5,28929,0.7045029849018538,both tolerable,2.23828125,0.5,27134,-0.016596812740519273,-1795
11.5,518,0.6867941922101867,both tolerable,0.0,0.69140625,30061,0.7160771252583215,both tolerable,0.69140625,0.5,27834,0.029282933048134785,-2227
11.5,793,0.7219986787580326,both tolerable,0.8437861682062879,2.7741306352170945,18380,0.7379209370424598,both tolerable,0.8437861682062879,2.7741306352170945,16496,0.01592225828442717,-1884
11.5,550,0.5416234887737479,both tolerable,0.0,1.6331862610496235,11506,0.5436433298502265,both tolerable,0.0,1.6331862610496235,11266,0.002019841076478568,-240
11.5,631,0.7287062168799276,both tolerable,0.0,1.113000238656758,24434,0.7280115982778315,both tolerable,0.0,1.113000238656758,23536,-0.0006946186020961864,-898
11.5,330,0.6575664802773069,both tolerable,0.0,1.974511812933532,45786,0.6920252049596857,both tolerable,1.91015625,1.974511812933532,40535,0.03445872468237876,-5251
11.5,90,0.6846443190618431,both tolerable,1.3203125,0.8281342128025279,34004,0.3861214825607868,both tolerable,1.4761542507713454,0.8281342128025279,16597,-0.29852283650105627,-17407
11.5,608,0.6755545761715881,both tolerable,1.3680800657879093,0.5,32329,0.0,found but incorrect,14.222497467185626,8.433013853673549,1873,-0.6755545761715881,-30456
11.5,887,0.5511663440969746,both tolerable,0.7890625,0.0,16390,0.5514490826907738,both tolerable,0.7890625,0.0,16198,0.0002827385937991256,-192
11.5,175,0.4653417196213202,both tolerable,0.9004562916672442,0.5,37806,0.488,both tolerable,0.9004562916672442,0.5,31368,0.022658280378679785,-6438
11.5,760,0.723592716399385,both tolerable,0.0,1.0541954870895625,35646,0.7252324188672788,both tolerable,0.0,1.0541954870895625,34879,0.0016397024678938,-767
11.5,696,0.6310649511703612,both tolerable,0.0,1.739843048383334,18623,0.6320269919543213,both tolerable,0.0,1.739843048383334,18447,0.0009620407839601164,-176
11.5,194,0.7989968329501792,both tolerable,0.8095744354916121,1.345667690480501,32298,0.8052898692172555,both tolerable,0.8095744354916121,1.345667690480501,31571,0.006293036267076335,-727
11.5,305,0.691554992265111,both tolerable,1.841961526640825,0.0,27473,0.693132685720703,both tolerable,1.841961526640825,0.0,27247,0.0015776934555919997,-226
11.5,344,0.7434997967510275,both tolerable,2.31325209475886,0.0,34321,0.7374689675129842,both tolerable,2.31325209475886,0.0,33557,-0.006030829238043323,-764
